Rank,Title,Year,IMDb Rating,Votes,Genre,Runtime
355,Suzume,2022,7.9,1378,"Animation, Drama, Adventure, Fantasy",121
356,Sanjuro,1962,7.945,620,"Drama, Action, Comedy",96
357,Akira,1988,7.945,4297,"Animation, Science Fiction, Action",124
358,A Man Escaped,1956,7.944,543,"Drama, Thriller",101
359,The Great Escape,1963,7.9,2578,"Adventure, Drama, War",173
360,No Country for Old Men,2007,7.944,12152,"Crime, Drama, Thriller",122
361,Raise the Red Lantern,1991,7.9,718,Drama,125
362,Rope,1948,7.942,2737,"Thriller, Crime, Drama",81
363,Braveheart,1995,7.9,10238,"Action, Drama, History, War",177
364,Forgotten,2017,7.9,1133,"Thriller, Mystery, Crime",108
365,Farewell My Concubine,1993,7.94,588,Drama,171
366,Pather Panchali,1955,7.927,426,Drama,125
367,Blade Runner,1982,7.938,13906,"Science Fiction, Drama, Thriller",118
368,CODA,2021,7.938,2281,"Drama, Music, Romance",112
369,Ivan Vasilyevich Changes His Profession,1973,7.9,356,"Comedy, Science Fiction",93
370,Gone with the Wind,1939,7.935,4065,"Drama, War, Romance",233
371,Nobody,2021,7.936,7196,"Action, Thriller",92
372,12 Years a Slave,2013,7.936,11323,"Drama, History",134
373,Cries and Whispers,1972,7.9,694,Drama,95
374,When Marnie Was There,2014,7.935,1808,"Animation, Drama, Family, Mystery",103
375,The Exterminating Angel,1962,7.9,672,"Comedy, Drama, Fantasy",93
376,No Manches Frida 2: Paradise Lost,2019,7.934,883,Comedy,102
377,Ordet,1955,7.928,367,Drama,125
378,Ghost in the Shell,1995,7.9,3448,"Action, Animation, Science Fiction",83
379,Where Hands Touch,2018,7.9,514,"War, Drama, Romance",122
380,Close-Up,1990,7.933,386,"Crime, Drama",98
381,The Postman,1994,7.927,1145,"Comedy, Drama, Romance",109
382,Me Before You,2016,7.9,12485,"Drama, Romance",110
383,Raging Bull,1980,7.9,4354,Drama,129
384,Raiders of the Lost Ark,1981,7.926,12602,"Adventure, Action",115
385,It's Such a Beautiful Day,2012,7.9,326,"Animation, Comedy",62
386,Love Hurts,2002,7.925,312,"Drama, Romance",104
387,Where Is The Friend's House?,1987,7.9,363,"Drama, Family",83
388,Dallas Buyers Club,2013,7.924,8510,"Drama, History",117
389,Don't Look Now... We're Being Shot At!,1966,7.923,1357,"Comedy, War",132
390,Freedom Writers,2007,7.923,2225,"Crime, Drama",123
391,The Cranes Are Flying,1957,7.924,387,"Drama, Romance, War",97
392,Three Colors: Red,1994,7.918,1408,"Drama, Mystery, Romance",100
393,My Hero Academia: Two Heroes,2018,7.9,1015,"Animation, Action, Adventure, Fantasy",96
394,About Time,2013,7.918,8587,"Drama, Romance, Fantasy",123
395,Army of Shadows,1969,7.9,654,"War, History, Thriller",145
396,"Batman: The Dark Knight Returns, Part 2",2013,7.916,1489,"Science Fiction, Action, Animation, Mystery",78
397,Children of Heaven,1997,7.916,630,"Drama, Family",88
398,Heat,1995,7.9,7404,"Crime, Drama, Action",170
399,A Trip to the Moon,1902,7.916,1811,"Adventure, Science Fiction",15
