Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
1449,The Loud House Movie,Movie,2021.0,Animation,"14,500,000",14.5M
1450,The Takeover,Movie,2022.0,Crime,"14,500,000",14.5M
1451,To All the Boys: Always and Forever,Movie,2021.0,Romance,"14,500,000",14.5M
1453,The Willoughbys,Movie,2020.0,Animation,"14,400,000",14.4M
1457,Medieval,Movie,2022.0,History,"14,400,000",14.4M
1458,Outside the Wire,Movie,2021.0,Science Fiction,"14,400,000",14.4M
1464,Little Man,Movie,2006.0,Comedy,"14,300,000",14.3M
1465,Mission: Impossible - Rogue Nation,Movie,2015.0,Action,"14,300,000",14.3M
1467,The Equalizer 2,Movie,2018.0,Action,"14,300,000",14.3M
1469,Awake,Movie,2021.0,Science Fiction,"14,200,000",14.2M
1472,Hanna,Movie,2011.0,Action,"14,200,000",14.2M
1473,Harry Potter and the Deathly Hallows: Part 1,Movie,2010.0,Fantasy,"14,200,000",14.2M
1474,Interstellar,Movie,2014.0,Science Fiction,"14,200,000",14.2M
1477,Mission: Impossible - Ghost Protocol,Movie,2011.0,Action,"14,200,000",14.2M
1479,The Smurfs,Movie,2011.0,Animation,"14,200,000",14.2M
1481,American Gangster,Movie,2007.0,Biography,"14,100,000",14.1M
1484,Gladiator,Movie,2000.0,History,"14,100,000",14.1M
1486,Maid in Manhattan,Movie,2002.0,Romance,"14,100,000",14.1M
1489,The Twilight Saga: New Moon,Movie,2009.0,Fantasy,"14,100,000",14.1M
1490,The Unforgivable,Movie,2021.0,Drama,"14,100,000",14.1M
1491,Baby Driver,Movie,2017.0,Action,"14,000,000",14.0M
1492,Bright,Movie,2017.0,Fantasy,"14,000,000",14.0M
1498,The Chronicles of Riddick,Movie,2004.0,Science Fiction,"14,000,000",14.0M
1500,G.I. Joe: The Rise of Cobra,Movie,2009.0,Action,"13,900,000",13.9M
1503,Jack Reacher: Never Go Back,Movie,2016.0,Action,"13,900,000",13.9M
1506,Private Lesson,Movie,2022.0,Comedy,"13,900,000",13.9M
1514,Love in the Villa,Movie,2022.0,Comedy,"13,800,000",13.8M
1519,The Choice,Movie,2016.0,Romance,"13,800,000",13.8M
