Rank,Title,Type,Premiere,Genre,Watchtime_M
1049,Do Revenge,Movie,2022.0,Comedy,20.4
1055,Synchronic,Movie,2020.0,Thriller,20.3
1056,Transformers: The Last Knight,Movie,2017.0,Science Fiction,20.3
1059,A Perfect Pairing,Movie,2022.0,Comedy,20.2
1068,The Kissing Booth 2,Movie,2020.0,Romance,20.1
1070,Colombiana,Movie,2011.0,Action,20.0
1078,War,Movie,2007.0,Thriller,19.9
1085,Daddy Day Care,Movie,2003.0,Comedy,19.7
1087,Johnny,Movie,2022.0,Biography,19.7
1091,The Croods: A New Age,Movie,2020.0,Animation,19.7
1093,Cloudy with a Chance of Meatballs 2,Movie,2013.0,Animation,19.6
1094,Forrest Gump,Movie,1994.0,Drama,19.6
1101,Spider-Man: Far from Home,Movie,2019.0,Superhero,19.5
1112,Bird Box,Movie,2018.0,Horror,19.3
1113,God's Crooked Lines,Movie,2022.0,Thriller,19.3
1114,Harry Potter and the Prisoner of Azkaban,Movie,2004.0,Fantasy,19.3
1119,Central Intelligence,Movie,2016.0,Action,19.2
1120,Harry Potter and the Goblet of Fire,Movie,2005.0,Fantasy,19.1
1123,The Hunger Games: Mockingjay - Part 1,Movie,2014.0,Science Fiction,19.1
1124,The Year I Started Masturbating,Movie,2022.0,Comedy,19.1
1125,Wrong Place,Movie,2022.0,Action,19.1
1136,The Next 365 Days,Movie,2022.0,Romance,18.9
1138,Minions & More: Volume 1,Movie,2022.0,Animation,18.8
1139,Pokémon: Mewtwo Strikes Back Evolution,Movie,2019.0,Animation,18.8
1140,R.I.P.D.,Movie,2013.0,Science Fiction,18.8
1142,Ad Astra,Movie,2019.0,Science Fiction,18.7
1144,Jumanji: Welcome to the Jungle,Movie,2017.0,Adventure,18.7
1146,Monster House,Movie,2006.0,Animation,18.7
1151,Emergency Declaration,Movie,2022.0,Action,18.6
1153,How It Ends,Movie,2018.0,Thriller,18.6
1154,Life,Movie,1999.0,Crime,18.6
1157,The Raid 2,Movie,2014.0,Action,18.6
1158,This Is Where I Leave You,Movie,2014.0,Drama,18.6
1159,How to Train Your Dragon 2,Movie,2014.0,Animation,18.5
1162,All the Places,Movie,2023.0,Adventure,18.4
1169,John Wick: Chapter Two,Movie,2017.0,Action,18.3
1172,The Big 4,Movie,2022.0,Action,18.3
1173,The Dark Knight,Movie,2008.0,Superhero,18.3
1174,The Hangover Part III,Movie,2013.0,Comedy,18.3
1175,El padrino: The Latin Godfather,Movie,2004.0,Thriller,18.3
1178,2012,Movie,2009.0,Science Fiction,18.2
1184,Goosebumps,Movie,2015.0,Adventure,18.1
1192,Interceptor,Movie,2022.0,Action,18.0
1195,Blue Streak,Movie,1999.0,Crime,17.9
1199,The Hangover Part II,Movie,2011.0,Comedy,17.9
1200,Transformers: Age of Extinction,Movie,2014.0,Science Fiction,17.9
1204,Home Team,Movie,2022.0,Comedy,17.8
1206,The Mule,Movie,2018.0,Crime,17.8
1208,Trouble,Movie,2019.0,Animation,17.7
1209,13 Hours: The Secret Soldiers of Benghazi,Movie,2016.0,War,17.6
